
40.710775,-73.897576,red,square,"Pune"
40.7112415,-73.8986504,red,square,"Pune"
40.7110045,-73.8996054,red,square,"Pune"
40.710981,-73.899709,red,square,"Pune"
40.7110619,-73.8997506,red,square,"Pune"
40.7112209,-73.8998323,red,square,"Pune"
40.711265,-73.899855,red,square,"Pune"
40.7117114,-73.9000855,red,square,"Pune"
40.7118647,-73.9001647,red,square,"Pune"
40.711904,-73.900185,red,square,"Pune"
40.7119772,-73.900223,red,square,"Pune"
40.7121427,-73.9003088,red,square,"Pune"
40.7122052,-73.9003412,red,square,"Pune"
40.7123031,-73.9003919,red,square,"Pune"
40.7124346,-73.90046,red,square,"Pune"
40.712495,-73.9004913,red,square,"Pune"
40.7125326,-73.9005108,red,square,"Pune"
40.712539,-73.9005141,red,square,"Pune"
40.7126277,-73.900562,red,square,"Pune"
40.7127013,-73.9005936,red,square,"Pune"
40.7127817,-73.9006275,red,square,"Pune"
40.7131576,-73.9007453,red,square,"Pune"
40.713172,-73.90075,red,square,"Pune"
40.7136821,-73.9008933,red,square,"Pune"
40.713841,-73.900938,red,square,"Pune"
40.7138793,-73.9009488,red,square,"Pune"
40.7141738,-73.9010318,red,square,"Pune"
40.7142529,-73.901054,red,square,"Pune"
40.7145432,-73.9011358,red,square,"Pune"
40.714622,-73.901158,red,square,"Pune"
40.7147278,-73.9011873,red,square,"Pune"
40.7147698,-73.9011989,red,square,"Pune"
40.714982,-73.9012576,red,square,"Pune"
40.715406,-73.901375,red,square,"Pune"
40.7155941,-73.9014283,red,square,"Pune"
40.715646,-73.901443,red,square,"Pune"
40.7157193,-73.9014627,red,square,"Pune"
40.7160285,-73.9015513,red,square,"Pune"
40.7161707,-73.9015914,red,square,"Pune"
40.7162598,-73.9016161,red,square,"Pune"
40.716317,-73.901632,red,square,"Pune"
40.7164583,-73.9016719,red,square,"Pune"
40.7167317,-73.9017492,red,square,"Pune"
40.7168938,-73.901795,red,square,"Pune"
40.7169687,-73.9018162,red,square,"Pune"
40.7169582,-73.9017007,red,square,"Pune"
40.7171358,-73.9013351,red,square,"Pune"
40.7177999,-73.899968,red,square,"Pune"
40.7178185,-73.8999308,red,square,"Pune"
40.7178528,-73.899862,red,square,"Pune"
40.7179811,-73.9000652,red,square,"Pune"
40.7180226,-73.9002018,red,square,"Pune"
40.7180215,-73.9002619,red,square,"Pune"
40.71802,-73.900339,red,square,"Pune"
40.7180927,-73.9003385,red,square,"Pune"
40.7181458,-73.9003382,red,square,"Pune"
40.718669,-73.900335,red,square,"Pune"
40.7187103,-73.9003467,red,square,"Pune"
40.7196729,-73.9006203,red,square,"Pune"
40.7197124,-73.9006317,red,square,"Pune"
40.7197608,-73.9006453,red,square,"Pune"
40.7198736,-73.9006774,red,square,"Pune"
40.7199268,-73.9006925,red,square,"Pune"
40.7207426,-73.9009244,red,square,"Pune"
40.7207426,-73.9009244,red,square,"Pune"
40.7225623,-73.9014276,red,square,"Pune"
40.7226184,-73.9015037,red,square,"Pune"
40.7226621,-73.9014305,red,square,"Pune"
40.7227757,-73.9012507,red,square,"Pune"
40.7231674,-73.9006172,red,square,"Pune"
40.7235272,-73.8999198,red,square,"Pune"
